DATETIME,R1,R2,R3
1/1/2024 0:00,2540.823483,891.1359841,1111.828817
1/1/2024 0:15,2502.15363,880.12642,1101.041455
1/1/2024 0:30,2463.483777,869.1168559,1090.254094
1/1/2024 0:45,2424.813925,858.1072918,1079.466732
1/1/2024 1:00,2386.144072,847.0977277,1068.67937
1/1/2024 1:15,2373.701216,838.3431239,1056.245326
1/1/2024 1:30,2361.258359,829.58852,1043.811282
1/1/2024 1:45,2348.815503,820.8339162,1031.377239
1/1/2024 2:00,2336.372646,812.0793123,1018.943195
1/1/2024 2:15,2332.309901,806.7386457,1011.433204
1/1/2024 2:30,2328.247155,801.3979791,1003.923214
1/1/2024 2:45,2324.18441,796.0573125,996.4132231
1/1/2024 3:00,2320.121664,790.7166459,988.9032325
1/1/2024 3:15,2330.09928,793.2470123,987.8495688
1/1/2024 3:30,2340.076896,795.7773786,986.7959052
1/1/2024 3:45,2350.054512,798.307745,985.7422415
1/1/2024 4:00,2360.032128,800.8381113,984.6885778
1/1/2024 4:15,2386.079877,807.2330045,990.3796791
1/1/2024 4:30,2412.127625,813.6278976,996.0707804
1/1/2024 4:45,2438.175374,820.0227908,1001.761882
1/1/2024 5:00,2464.223122,826.4176839,1007.452983
1/1/2024 5:15,2488.947434,835.0423826,1020.363554
1/1/2024 5:30,2513.671746,843.6670814,1033.274125
1/1/2024 5:45,2538.396058,852.2917801,1046.184696
1/1/2024 6:00,2563.12037,860.9164789,1059.095267
1/1/2024 6:15,2524.401991,842.8449977,1045.034233
1/1/2024 6:30,2485.683612,824.7735165,1030.9732
1/1/2024 6:45,2446.965233,806.7020353,1016.912166
1/1/2024 7:00,2408.246854,788.6305541,1002.851132
1/1/2024 7:15,2206.396839,722.5682694,928.881724
1/1/2024 7:30,2004.546823,656.5059847,854.912316
1/1/2024 7:45,1802.696808,590.4437,780.9429079
1/1/2024 8:00,1600.846792,524.3814153,706.9734999
1/1/2024 8:15,1610.688554,530.4373285,720.1407794
1/1/2024 8:30,1620.530316,536.4932416,733.3080588
1/1/2024 8:45,1630.372077,542.5491548,746.4753382
1/1/2024 9:00,1640.213839,548.6050679,759.6426177
1/1/2024 9:15,1647.582329,554.4234078,770.0096413
1/1/2024 9:30,1654.950819,560.2417477,780.376665
1/1/2024 9:45,1662.319309,566.0600875,790.7436886
1/1/2024 10:00,1669.687799,571.8784274,801.1107122
1/1/2024 10:15,1683.71396,577.1166759,810.2124065
1/1/2024 10:30,1697.74012,582.3549244,819.3141007
1/1/2024 10:45,1711.766281,587.5931729,828.415795
1/1/2024 11:00,1725.792441,592.8314214,837.5174892
1/1/2024 11:15,1724.681312,591.6589341,838.6349667
1/1/2024 11:30,1723.570182,590.4864469,839.7524442
1/1/2024 11:45,1722.459053,589.3139596,840.8699216
1/1/2024 12:00,1721.347923,588.1414723,841.9873991
1/1/2024 12:15,1715.937897,584.8418296,841.0332359
1/1/2024 12:30,1710.527871,581.5421869,840.0790728
1/1/2024 12:45,1705.117844,578.2425441,839.1249096
1/1/2024 13:00,1699.707818,574.9429014,838.1707464
1/1/2024 13:15,1694.12765,570.5814671,833.5461211
1/1/2024 13:30,1688.547481,566.2200328,828.9214958
1/1/2024 13:45,1682.967313,561.8585986,824.2968705
1/1/2024 14:00,1677.387144,557.4971643,819.6722452
1/1/2024 14:15,1725.717689,570.3991089,841.2613185
1/1/2024 14:30,1774.048234,583.3010534,862.8503918
1/1/2024 14:45,1822.378779,596.2029979,884.4394651
1/1/2024 15:00,1870.709324,609.1049425,906.0285384
1/1/2024 15:15,2193.420232,706.6254528,1061.278553
1/1/2024 15:30,2516.13114,804.1459631,1216.528567
1/1/2024 15:45,2838.842047,901.6664733,1371.778582
1/1/2024 16:00,3161.552955,999.1869836,1527.028596
1/1/2024 16:15,3225.753969,1051.457511,1620.947629
1/1/2024 16:30,3289.954983,1103.728039,1714.866663
1/1/2024 16:45,3354.155996,1155.998567,1808.785696
1/1/2024 17:00,3418.35701,1208.269095,1902.704729
1/1/2024 17:15,3407.869467,1212.589746,1913.12867
1/1/2024 17:30,3397.381925,1216.910396,1923.552611
1/1/2024 17:45,3386.894382,1221.231047,1933.976551
1/1/2024 18:00,3376.406839,1225.551697,1944.400492
1/1/2024 18:15,3360.476829,1223.469405,1940.066854
1/1/2024 18:30,3344.54682,1221.387113,1935.733215
1/1/2024 18:45,3328.61681,1219.30482,1931.399577
1/1/2024 19:00,3312.6868,1217.222528,1927.065938
